# Zerodha x10 non-compliant latest summary

Runs: 10
Best throughput: 26110.58 ops/sec
Worst throughput: 16565.52 ops/sec
Mean throughput: 21563.92 ops/sec
Median throughput: 21621.12 ops/sec
Stddev throughput: 2751.58 ops/sec
Mean avg latency: 2.194 ms
Mean peak allocated: 643.20 MB

| Run | Throughput | Avg latency | Peak allocated |
|-----|-----------:|------------:|---------------:|
| zerodha_nocomply_run1.txt | 19086.74 ops/sec | 2.454 ms | 499.20 MB |
| zerodha_nocomply_run2.txt | 21770.66 ops/sec | 2.128 ms | 684.43 MB |
| zerodha_nocomply_run3.txt | 16565.52 ops/sec | 2.790 ms | 657.02 MB |
| zerodha_nocomply_run4.txt | 21471.58 ops/sec | 2.185 ms | 786.78 MB |
| zerodha_nocomply_run5.txt | 23623.60 ops/sec | 1.982 ms | 629.01 MB |
| zerodha_nocomply_run6.txt | 21466.07 ops/sec | 2.158 ms | 836.13 MB |
| zerodha_nocomply_run7.txt | 24224.04 ops/sec | 1.893 ms | 713.29 MB |
| zerodha_nocomply_run8.txt | 19368.79 ops/sec | 2.446 ms | 557.74 MB |
| zerodha_nocomply_run9.txt | 21951.60 ops/sec | 2.134 ms | 607.80 MB |
| zerodha_nocomply_run10.txt | 26110.58 ops/sec | 1.771 ms | 460.56 MB |
